forum_url,subject_url,post_member_group,user_url,post_count,user_date_registered,user_location,post_user,subject_title,post_date,post_text,user_last_activity,forum_title,forum_text,subject_user
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/42147-no-se-si-estoy-embarazada,Junior Member,http://www.onmeda.es/foros/member/23399-nanita25,2,Ingreso: 29/12/16,,Nanita25,No se si estoy embarazada,"29/12/16, 02:10:26",Hola estoy un poco pensativa pues mi último periodo fue en noviembre y mantuve relaciones con mi esposo y se suponía que me bajará el 3 de Diciembre y nunca llegó pero tengo mucho miedo en hacerme la prueba no se que hacer,"Última Actividad: 29/12/16, 04:27:38",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",Nanita25
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/38887-retraso-ciclo,Junior Member,http://www.onmeda.es/foros/member/20787-tsuparedes,1,Ingreso: 04/07/16,,tsuparedes,retraso ciclo,"04/07/16, 16:12:19",a que se debe que el ciclo menstrual cambie al tener relaciones días antes de la menstruación,"Última Actividad: 04/07/16, 19:47:38",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",tsuparedes
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/40107-tener-un-bebe-de-sexo-masculino,Junior Member,http://www.onmeda.es/foros/member/21641-azalia-ortiz-meneses,3,Ingreso: 07/09/16,,azalia ortiz meneses,tener un bebe de sexo masculino,"07/09/16, 02:53:19",quisiera saber si existe algún método para que el sexo del bebe sea masculino,"Última Actividad: 10/09/16, 03:41:58",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",azalia ortiz meneses
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/39759-mestruacion,Junior Member,http://www.onmeda.es/foros/member/21385-maria-valdez,1,Ingreso: 20/08/16,,Maria Valdez,Mestruacion,"20/08/16, 17:29:04","Hola e querido salir embarazada y no se me ah dado la oportunida mi periodo anteriormente me venia todos los 23 de cada mes, pero de un tiempo para aca me empeso a venir que si los 16-19. esta vez me vino el 18 y solo me duro 2 dias. no entiendo nada.","Última Actividad: 20/08/16, 17:48:30",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",Maria Valdez
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/4399-embarazo-después-de-legrado,Junior Member,http://www.onmeda.es/foros/member/5283-suiz10,2,Ingreso: 24/04/14,,suiz10,Embarazo después de legrado?,"26/04/14, 05:06:28","Hola
Tengo 39 años, he tenido problemas para embarazarme lo he intentado por más de 10 años incluso con reproducción asistida, me he sometido a terapia hormonal, relaciones programadas y 4 inseminaciones artificiales. Después de 2 años de dejar los tratamientos me embaracé de forma natural en Marzo del 2013 pero a las 12 semanas dejó de tener latido, el saco estaba vacío y me hicieron un legrado. En Enero del 2014 me volví a embarazar de forma natural, pero ahora a las 10 semanas expulsé el saco y me tuvieron que realizar otro legrado. Ahora tengo miedo de embarazarme y que vuelva a suceder lo mismo, también por la edad no se si intentarlo o ya no para evitar complicaciones en mi salud y en la del bebé. De repente tengo la esperanza de que pueda suceder el milagro.","Última Actividad: 18/06/14, 05:29:02",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",suiz10
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/107907-dos-años-y-medio-intentando-quedar-embarazada,Junior Member,http://www.onmeda.es/foros/member/79249-loquita,1,Ingreso: 15/04/17,,Loquita,Dos años y medio intentando quedar embarazada,"15/04/17, 14:12:36","Hola,llevo 2 años y medio intentando quedar embarazada pero no lo consigo nose si hay algun problema de fertilidad o algo,tengo 20 años y llevo con mi pareja 4 años el tiene una hija por lo tanto el problema soy yo ayudenme
ami me baja mi regla siempre puntual menos el mes anterior que se me retrazo 13 dias habra algun problema nose","Última Actividad: 15/04/17, 14:24:19",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",Loquita
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/4399-embarazo-después-de-legrado,Junior Member,http://www.onmeda.es/foros/member/21967-josé-acevedo,1,Ingreso: 05/10/16,,José Acevedo,Embarazo después de legrado?,"05/10/16, 21:00:21","Re: Embarazo después de legrado?
Buenas tardes
A mi esposa le hicieron un legrado hace apenas 3 meses, mi pregunta es ¿Cuánto tiempo debe pasar para poder embarazarse nuevamente?, nuestro anhelo es un bebe, a pesar de que tenemos un hermoso niño de 7 años, pero después de este tiempo no habíamos podido concebir, hasta este momento pero desafortunadamente el embrión no se logró, lo que nos puso muy tristes. Mi esposa tiene 32 años y yo 33. La otra situación se trata sobre el cuidado o tratamiento que debemos tener, particularmente mi esposa, para que no vuelva a ocurrir una situación parecida.
Saludos","Última Actividad: 06/10/16, 01:40:52",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",suiz10
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/38097-¿existen-síntomas-o-factores-físicos-de-infertilidad,Junior Member,http://www.onmeda.es/foros/member/20251-jey,2,Ingreso: 31/05/16,,Jey,¿Existen síntomas o factores físicos de infertilidad?,"31/05/16, 19:39:32",Quisiera saber si existen síntomas o factores físicos que puedan determinar si alguien esta incapacitado para procrear,"Última Actividad: 31/05/16, 19:39:36",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",Jey
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/4399-embarazo-después-de-legrado,Junior Member,http://www.onmeda.es/foros/member/14117-aydee,1,Ingreso: 12/06/15,,aydee,Embarazo después de legrado?,"12/06/15, 19:16:24","Re: Embarazo después de legrado?
tengo 40 años tengo un hijo  de 7 años  , he tenido problemas para volver a embarazarme,en mayo 2014 quede embarazada  naturalmente y alos 9 semanas el embrion no tenia latido y empese a expulsar y tuvieron que hacerme un legrado, y en noviembre 2014 volvi a quedar embarazada naturalmente y a los 11 semanas el saco embrional estaba vacio creo que no logro desarrollar el embrion y texpulse y me tuvieron que relizar otro legrado. ahora tengo miedo de embazarme y vuelva a pasar lo mismo tambien por la edad no se si intentarlo","Última Actividad: 12/06/15, 19:27:20",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",suiz10
http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad,http://www.onmeda.es/foros/embarazo-bebés-y-niños/fertilidad-e-infertilidad/36143-quiero-embarazarme,Junior Member,http://www.onmeda.es/foros/member/18943-valej,1,Ingreso: 25/02/16,,Valej,Quiero embarazarme,"25/02/16, 19:10:46","Hola quisiera que me ayuden, tuve un retraso de14 días... Feliz pensé que era un embarazo. Y no fue así... Ahora quiero saber que debo hacer para embarazarme...","Última Actividad: 25/02/16, 19:14:27",Fertilidad e infertilidad,"Ser padre o madre es una de las decisiones más importantes en la vida de una persona. Sin embargo, a veces no es tan sencillo. ¿Tienes alguna pregunta sobre fertilidad? ¿Quieres información sobre las mejores técnicas de reproducción asistida?",Valej
