forum_url,subject_url,post_member_group,user_url,post_count,user_date_registered,user_location,post_user,subject_title,post_date,post_text,user_last_activity,forum_title,forum_text,subject_user
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/108143-posibilidad-de-embarazo,Junior Member,http://www.onmeda.es/foros/member/79381-carito94,1,Ingreso: Hoy,,Carito94,Posibilidad de embarazo??,"Hoy, 00:47:47","Chicas, me siento afligida...
la verdad es que llevo una relacion de casi 4 años, siempre he estado solo con mi pololo. El tema, es que durante todos estos años me cuide de forma normal, ocupando como ultimo metodo la Mesigyna inyectable de manera mensual. Pero, este mes no me la puse, tenia que haberme inyectado el 05, y sin embargo no lo hice por que terminamos justo dias antes. Pero ahora volvimos, y ayer y hoy dia hemos tenido relaciones. Igual tengo la inyeccion comprada, pero nose si sirve de mucho ahora o si? Recien ahora me afligi tanto, y me da miedo quedar embarazada. Aunque llevo cuidandome 3 años 10 meses seguidos sin saltarme ningun mes de anticoncepcion. Saludos, espero sus respuestas de ayuda.","Última Actividad: Hoy, 00:48:59",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,Carito94
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/108007-pastilla-anticonceptiva,Junior Member,http://www.onmeda.es/foros/member/79307-fatima01412,1,Ingreso: 20/04/17,,Fatima01412,Pastilla anticonceptiva,"20/04/17, 10:34:20",Hola buenas hace 11 meses fuy mama y me mandaron las pastillas anticonceptivas llamadas desopop para poderlas tomar mediante la lactancia mi duda es que hace siete meses que no le doy el pecho porque me dejo de subir la leche y sigo tomando las pastillas esas porque mi medico no me las quiere cambiar aun pero tengo relaciones sexuales con mi pareja y hace unos días que de mi pecho si aprieto me sale un liquidillo trasparente con algo de blanco y no se si esque mis pastillas no están haciendo efecto ninguno o si eso es normal alguien podría resolverme esa duda porfavor?,"Última Actividad: 20/04/17, 10:56:18",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,Fatima01412
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/107979-pastilla-anticonceptiva,Junior Member,http://www.onmeda.es/foros/member/79285-clarabgp,2,Ingreso: 18/04/17,,Clarabgp,Pastilla anticonceptiva,"18/04/17, 12:46:09","Hola buenas , estoy tomando las pastillas anticonceptivas donabel , el día 26  me olvide tomar la pastilla por 13 horas y media y cuando me acorde me la tomé y despues la siguiente a la hora de siempre . La menstruacion me entro 2 días de despues de tomarme la ultima pero un dia antes de empezar el nuevo envase tuve relaciones sexuales sin eyaculacion . Sigo estando protegida ?","Última Actividad: 18/04/17, 13:10:39",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,Clarabgp
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/107979-pastilla-anticonceptiva,Junior Member,http://www.onmeda.es/foros/member/79285-clarabgp,2,Ingreso: 18/04/17,,Clarabgp,Pastilla anticonceptiva,"18/04/17, 12:56:58","Re: Pastilla anticonceptiva
Hola buenas , estoy tomando las pastillas anticonceptivas donabel , el día 26  me olvide tomar la pastilla por 13 horas y media y cuando me acorde me la tomé y despues la siguiente a la hora de siempre . La menstruacion me entro 2 días de despues de tomarme la ultima pero un dia antes de empezar el nuevo envase tuve relaciones sexuales sin eyaculacion . Sigo estando protegida ?","Última Actividad: 18/04/17, 13:10:39",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,Clarabgp
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/107893-retraso-menstrual-después-de-las-pastillas-anticonceptivas,Junior Member,http://www.onmeda.es/foros/member/79243-valevanessa,2,Ingreso: 15/04/17,,Valevanessa,Retraso menstrual después de las pastillas anticonceptivas,"15/04/17, 10:20:30","Buenas. Tengo ovarios poliquisticos, tome pastillas anticonceptivas por 6 meses y me lo quitaron por un mes en ese mes tuve relaciones con mi novio sin protección pero jamás llegó dentro de mi ni estuvo cerca, ahora tengo 4 días de retraso (debió llegar el 11/04) más o menos el 8/04 manche tres veces color marrón pero eran pequeñas manchas y tengo flujo transparente y a veces blanco. Necesito ayuda que puede ser?","Última Actividad: 15/04/17, 10:20:39",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,Valevanessa
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/108047-posible-embarazo,Junior Member,http://www.onmeda.es/foros/member/79321-guadalupe18,1,Ingreso: 22/04/17,,Guadalupe18,Posible embarazo,"22/04/17, 04:43:15","Tengo 20 años, hace un año estuve embarazada y perdí mi bebé. Actualmente mi pareja y yo tuvimos relaciones, esto fue durante el tercer día de mi periodo, y el día 23 nuevamente sin protección y eyaculando dentro de mi, después de mi pérdida me volví muy irregular teniendo ciclos de 23 días hasta 42. ¿Podría haber un embarazo, y en qué momento pudo ser más probable, en la primera fecha o en la segunda?. ¡Muchas gracias!.","Última Actividad: 22/04/17, 04:44:32",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,Guadalupe18
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/1709-después-de-implanon-cuánto-tarda-la-regla,Junior Member,http://www.onmeda.es/foros/member/1299-aliciaaaa,1,Ingreso: 05/06/13,,aliciaaaa,Después de IMPLANON cuánto tarda la regla?,"05/06/13, 16:27:16","Buenas tardes.
El 30 de abril mi ginécologo me sacó el implante anticonceptivo IMPLANON y hoy día 5 de junio no me ha venido la regla aún. He de comentar que el pasado día 25/05 mantuve relaciones sexuales en las que el condón se quedó dentro de mi vagina y por evitar ningún embarazo no deseado tomé la pastilla del día despues, pasadas aprox 13 horas desde que mantuve relaciones hsta que tomé la pastilla.
¿Es normal que tarde tanto en bajarme la regla?
Gracias.","Última Actividad: 06/06/13, 22:04:44",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,aliciaaaa
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/1709-después-de-implanon-cuánto-tarda-la-regla,Experto,http://www.onmeda.es/foros/member/171-dra-cristina-martín,589,Ingreso: 07/09/12,,,Después de IMPLANON cuánto tarda la regla?,"12/06/13, 02:32:17","Re: Después de IMPLANON cuánto tarda la regla?
Estimada Alicia,
le doy las gracias por su participación en el foro ante todo. Es normal, efectivamente que se produzcan desajustes en la menstruación. Seguramente, hoy a día 12, usted ya haya tenido la menstruación. La preocupación que le ronda es, supongo, si está embarazada. Dado que tomó la pastilla del día después, es muy probable que esta hiciera su efecto correcto. No obstante, evidentemente, si pasan muchos días sin menstruación, lo adecuado es que se hiciera las pruebas correspondientes para salir de dudas.
Espero haberle sido de ayuda.
Un saludo cordial
Dra. Cristina Martín","Última Actividad: 28/04/14, 23:01:00",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,aliciaaaa
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/1709-después-de-implanon-cuánto-tarda-la-regla,Junior Member,http://www.onmeda.es/foros/member/8047-janneth89,1,Ingreso: 10/09/14,,janneth89,Después de IMPLANON cuánto tarda la regla?,"10/09/14, 07:47:28","Re: Después de IMPLANON cuánto tarda la regla?
hola bns noches quiciera saber me retire el implante dia 28 de agosto y me dijieron q 3 dias despues de retirarmelo me llegaria la mestruacion pero esta esta es la fecha dia 10 de septiembre y aun no me llega la mestruacion es normal tantos dias y lo peor es q siento muchos colicos","Última Actividad: 10/09/14, 07:47:29",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,aliciaaaa
http://www.onmeda.es/foros/ginecología,http://www.onmeda.es/foros/ginecología/1709-después-de-implanon-cuánto-tarda-la-regla,Experto,http://www.onmeda.es/foros/member/7981-dra-elena-conde,79,Ingreso: 05/09/14,,,Después de IMPLANON cuánto tarda la regla?,"13/09/14, 19:33:56","Re: Después de IMPLANON cuánto tarda la regla?
Bueno dias:
Tras el uso de anticonceptivos orales se pueden producir efectivamente ciclos menstruales irregulares y desajustes de los mismos, asi que lo que la pasa puede ser perfectamente normal. Si ha tenido relacciones sexuales de riesgo mi recomendación es que se realice un test de embarazo, no hay que olvidar que aunque el tanto por ciento de fallo de este método anticonceptivo es bajo, existe. Trate los cólicos como trata los dolores menstruales, si no mejora le aconsejo consultar con un médico para que la explore y le pregunte mas detalladamente características del dolor y descartar posibles complicaciones.
Cualquier otra duda estaremos encantados de ayudarla.
Un saludo
Dra. Conde","Última Actividad: 18/12/14, 18:45:43",Ginecología,¿Qué hacer en caso de sangrados intermenstruales? ¿Qué puede hacerse frente a los hongos vaginales? relacionadas con el tema. ¡Plantea tu pregunta!,aliciaaaa
