forum_url,subject_url,post_member_group,user_url,post_count,user_date_registered,user_location,post_user,subject_title,post_date,post_text,user_last_activity,forum_title,forum_text,subject_user
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/107903-fimosis,Junior Member,http://www.onmeda.es/foros/member/79245-luis-gustavo,1,Ingreso: 15/04/17,,Luis gustavo,Fimosis,"15/04/17, 12:00:27",Disculpe desde una semana tengo herida en el grande es que estuve relaciones sexuales y tengo el prepucio se estiro y me lastimo y se abrió parese una pequeña herida y la estoy tratando de secarlas cada vez que voy al baño que puedo ser para que se cure,"Última Actividad: 15/04/17, 12:01:35",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Luis gustavo
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/108113-varicocele,Junior Member,http://www.onmeda.es/foros/member/79367-wilson-patricio,1,Ingreso: Ayer,,Wilson Patricio,Varicocele,"Ayer, 00:18:59","Hola tengo 22 años y queria saber que pasa si me masturbe despues de 3 dias de operado de un varicocele en el testiculo izquierdo no senti ninguna molestia ni dolor al hacerlo pero estoy preocupado porque no se que problemas me pueda dar a largo plazo espero me ayuden.
¡¡Gracias!!","Última Actividad: Ayer, 17:28:18",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Wilson Patricio
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/108051-roncha-en-la-cabeza-del-pene,Junior Member,http://www.onmeda.es/foros/member/79327-jordan23,1,Ingreso: 22/04/17,,Jordan23,Roncha en la cabeza del pene,"22/04/17, 21:46:33","Buenas tardes
pido su ayuda ya que desde hace una semana note que me salio dos pequeñas ronchas o especie de inflamacion muy pequenas en la cabeza del pene, tengo relaciones sexuales con mi pareja sin proteccion incluso sexo anal pero siempre recien bañados todo limpio. Estas dos ronchas son pequeñas y no son rojas, tienen el mismo color de la cabeza del pene y no me arde ni me duele, solo estan ahi desde hace una semana. Esto es grave? Como soluciono este problema? Es alguna ITS?
ESPERO ME PUEDA AYUDAR. MUCHAS GRACIAS!","Última Actividad: 22/04/17, 21:51:54",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Jordan23
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/107433-ayuda-urgente,Junior Member,http://www.onmeda.es/foros/member/79063-abtorres6,1,Ingreso: 30/03/17,,Abtorres6,Ayuda urgente!!,"30/03/17, 17:10:53","Ayer mi esposa me hizo second oral, la verdad fue muy busca que resguño mi pene entre la uretra y el pene el caso es q arde mucho hasta cuando orino muy incomodo que puedo hacer?","Última Actividad: 30/03/17, 17:14:02",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Abtorres6
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/107701-ur,Junior Member,http://www.onmeda.es/foros/member/79199-ignacio-333,1,Ingreso: 12/04/17,,Ignacio 333,Ur,"12/04/17, 04:33:26",Doctor tengo 30 años...Hace 20 días presente dolor al orinar así que tome fenozipiridina y ciprofloxacino por 10 días ..Al terminar el tratamiento ...Seguí igual...Me hicieron estudios para descartar litiasis...Y los análisis de sangre y orina además del ultrasonido... Arrojaron que no había infección y que no había litiasis...El día de hoy continúo con el glande inflamado...en mi desesperación aplicó crema lassar para mantener seca la zona ...Ayudarme porfavor,"Última Actividad: 12/04/17, 04:37:15",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Ignacio 333
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/108033-sertralina,Junior Member,http://www.onmeda.es/foros/member/79319-sergi,1,Ingreso: 21/04/17,,Sergi,Sertralina,"21/04/17, 22:53:27",Puede afectar a las erecciones tomar Sertralina?,"Última Actividad: 21/04/17, 22:58:08",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Sergi
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/45555-ayuda-dermatólogos-por-favor,Junior Member,http://www.onmeda.es/foros/member/27349-anon123,1,Ingreso: 04/03/17,,Anon123,Ayuda dermatólogos por favor,"04/03/17, 19:35:43","Buenas tardes a todos.
Necesito ayuda, Quiero saber si alguien de esta web, conoce alguna pomada medicamento que contenga el antibiótico necesario para: (les explico)
Hace un mes, me vienen saliendo verrugas en el ano y mi dermatólogo, las cura con un preparado especial llamado ""resina de podofilina 35%, tintura de benjuí csp 30 ml"".
lo cierto es que es efectivo, realmente las quita, pro luego tengo un problema enorme. Mi piel de torna de color blanco (parecido al color de un hongo) y me queda en carne viva. Eso me sucede alrededor del ano, es decir, entre medio de los cachetes de la cola.
Literalmente les digo, no puedo moverme que el roce me duele y arde tanto que me exige que me quede acostado o sentando en alguna posición que me relaje por momentos.
estoy utilizando una crema llamada ""Betacort Plus"" que contiene ""betametasona"", ""gentamicina"" y ""miconazol"".
La pregunta es: está bien usarla? No hace mal? Es indicada para esta lesión? En caso que no lo sea, podrían recomendarme alguna?
sinceramente en días me voy de vacaciones y temo que de esta manera no voy a poder disfrutarlas.
Ayuda por favor!
PD, puedo enviar fotos por mail.
​​​","Última Actividad: 04/03/17, 19:54:56",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Anon123
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/107971-picores-en-el-pubis-escroto-e-ingles,Junior Member,http://www.onmeda.es/foros/member/79277-cerveruz,2,Ingreso: 18/04/17,,Cerveruz,"Picores en el pubis, escroto e ingles","18/04/17, 01:31:00","Muy buenas noches, el motivo de mi consulta es que tengo unos picores en el pubis desde hace años, también se extienden al escroto y a las ingles. En un principio pensé en ladillas, pero no veo indicios de infestación y los picores comenzaron bastante tiempo después de la última relación sexual (estamos hablando de meses).
La piel se presenta enrojecida, como escamosa, típica apariencia de una psoriasis. Lo curioso es que al ducharme suele disminuir muchísimo el picor hasta prácticamente desaparecer, pero vuelve a reaparecer al cabo del día siguiente o dos días.
He estado estos días intentando soportar los picores y no rascarme, la verdad es que disminuyeron mucho e incluso había largos intervalos de tiempo en los que no me picaba en absoluto, pero hoy he vuelto a experimentar terribles picores y no he podido evitar rascarme de nuevo. Me siento mal por ello, ya que aguanté bastantes días sin hacerlo, pero no pude más.
¿Qué opina doctor?, ¿qué puedo hacer para remediarlos?. Son ya de hace varios años y empezaron en la mitad derecha del pubis sólamente (e ingle) y ahora ya es por todo el pubis e ingles. Gracias por su respuesta por adelantado. Buena noche.","Última Actividad: 18/04/17, 01:39:44",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Cerveruz
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/45555-ayuda-dermatólogos-por-favor,Junior Member,http://www.onmeda.es/foros/member/68697-carias,2,Ingreso: 20/03/17,,CARIAS,Ayuda dermatólogos por favor,"20/03/17, 19:36:42","Re: Ayuda dermatólogos por favor
Hola buenas tardes, a mi hijo le salieron unas manchas café como dos rallas en la cara, después de unos días le salieron al lado del labio, y ahora tiene tres manchas iguales en la mano derecha, que puede ser eso?","Última Actividad: 20/03/17, 20:56:44",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Anon123
http://www.onmeda.es/foros/salud-masculina,http://www.onmeda.es/foros/salud-masculina/107971-picores-en-el-pubis-escroto-e-ingles,Junior Member,http://www.onmeda.es/foros/member/21747-pedrosuniaga,10,Ingreso: 15/09/16,,PedroSuniaga,"Picores en el pubis, escroto e ingles","22/04/17, 01:01:38","Re: Picores en el pubis, escroto e ingles
Debes tener cuidado","Última Actividad: 22/04/17, 01:07:01",Salud masculina,"Esterilidad, disfunción eréctil o problemas de salud exclusivos de los hombres. Plantea tus preguntas sobre salud masculina.",Cerveruz
